('org', 39.79003180441733)
('com', 44.4110466527252)
('org.apache', 16.436024259041545)
('net', 16.897787822413456)
('com.google', 11.299328460947978)
('edu', 17.948823709625927)
('io', 18.480989723089078)
('br', 7.568592612309886)
('fr', 14.269836295960548)
('br.com', 3.7258590730110313)
('com.google.common', 5.858590398292708)
('fr.lip6.move.pnml', 11.585964226359302)
('fr.lip6.move', 11.585964226359302)
('fr.lip6', 11.585964226359302)
('edu.toronto', 7.295637733199815)
('edu.toronto.cs', 7.295637733199815)
('edu.toronto.cs.se', 7.295637733199815)
('com.github', 8.707614894186987)
('com.google.common.collect', 5.22235259924164)
('edu.toronto.cs.se.modelepedia', 5.13362718038253)
('org.chromium', 11.303011701783834)
('shadow', 2.9833505843009487)
('fr.lip6.move.pnml.pthlpng', 4.619326981735019)
('ru', 2.871802154278291)
('com.fsck', 12.655792860505281)
('com.fsck.k9', 12.655792860505281)
('org.apache.logging.log4j', 4.297796547315713)
('org.apache.logging', 4.297796547315713)
('com.facebook', 2.711607716498163)
('io.v', 6.196573518659394)
('org.fortiss', 6.86000447643786)
('org.fortiss.smg', 6.86000447643786)
('org.apache.jackrabbit', 4.106249773627551)
('ru.agentlab', 2.590755157777684)
('ru.agentlab.maia', 2.590755157777684)
('me', 4.079775907335982)
('org.apache.jackrabbit.oak', 4.024833844731199)
('com.sina', 10.152873675112017)
('org.collectionspace', 6.861980734078608)
('org.collectionspace.services', 6.861980734078608)
('fr.lip6.move.pnml.pthlpng.terms', 3.8413061744480412)
('org.apache.logging.log4j.core', 3.6993525784040227)
('com.sina.sinavideo', 9.54026747890253)
('com.sina.sinavideo.sdk', 9.54026747890253)
('com.insadelyon', 2.3097081612770762)
('com.insadelyon.les24heures', 2.3097081612770762)
('com.fuav.android', 2.2845000312564268)
('com.fuav', 2.2845000312564268)
('org.openspaces', 2.2311547025799614)
('org.chromium.content', 8.151547130129138)
('com.gemstone.gemfire', 7.897167096415836)
('com.gemstone', 7.897167096415836)
('se', 6.101390017080764)
('alexclin.httplite', 7.7914104275341565)
('com.example', 5.046383265334207)
('fr.lip6.move.pnml.hlpn', 5.6180514521008496)
('alexclin', 7.7914104275341565)
('org.chromium.content.browser', 7.928367354627745)
('com.fuav.android.core', 2.142547361536413)
('org.openspaces.pu', 2.1103021438594824)
('com.intel', 2.1103021438594824)
('io.tilt.minka', 6.58229657857214)
('io.tilt', 6.58229657857214)
('org.elasticsearch', 5.367631668412453)
('com.intel.mttest', 2.0409295767400217)
('org.apache.vxquery', 2.0409295767400217)
('net.sharkfw', 3.1126029961986283)
('context.arch', 7.040270678913389)
('edu.rpi.tw', 3.1126029961986283)
('context', 7.040270678913389)
('edu.rpi.tw.linkipedia.search', 3.1126029961986283)
('edu.rpi.tw.linkipedia', 3.1126029961986283)
('edu.rpi', 3.1126029961986283)
('org.opencb', 1.9218120556728056)
('org.wikipedia', 1.9218120556728056)
('io.protostuff', 2.975097229261034)
('com.facebook.buck', 1.8770773617087897)
('org.onosproject', 2.8993008128149693)
('com.oglcraft', 4.247398919369893)
('com.oglcraft.oglmod', 4.247398919369893)
('gui', 3.658510294717749)
('org.jitsi', 2.8178848839186164)
